symbol,date,price
EnhanceConf,20170119,8
EnhanceConf,20170120,6
EnhanceConf,20170121,6
EnhanceConf,20170122,7
EnhanceConf,20170123,9
EnhanceConf,20170124,10
EnhanceConf,20170125,5
EnhanceConf,20170126,5
EnhanceConf,20170127,10
EnhanceConf,20170128,8
EnhanceConf,20170129,5
EnhanceConf,20170130,4
EnhanceConf,20170131,3
EnhanceConf,20170201,6
EnhanceConf,20170202,7
EnhanceConf,20170203,16
EnhanceConf,20170204,106
EnhanceConf,20170205,4
EnhanceConf,20170206,6
EnhanceConf,20170207,8
EnhanceConf,20170208,5
EnhanceConf,20170209,1
EnhanceConf,20170210,7
EnhanceConf,20170211,3
EnhanceConf,20170212,7
EnhanceConf,20170213,5
EnhanceConf,20170214,1
EnhanceConf,20170215,4
EnhanceConf,20170216,7
EnhanceConf,20170217,4
EnhanceConf,20170218,4
EnhanceConf,20170219,9
EnhanceConf,20170220,6
EnhanceConf,20170221,4
EnhanceConf,20170222,4
EnhanceConf,20170223,2
EnhanceConf,20170224,5
EnhanceConf,20170225,2
EnhanceConf,20170226,6
EnhanceConf,20170227,0
EnhanceConf,20170228,0
EnhanceConf,20170301,0
EnhanceConf,20170302,0
EnhanceConf,20170303,1
EnhanceConf,20170304,0
EnhanceConf,20170305,0
EnhanceConf,20170306,1
EnhanceConf,20170307,0
EnhanceConf,20170308,1
EnhanceConf,20170309,1
EnhanceConf,20170310,2
EnhanceConf,20170311,0
EnhanceConf,20170312,0
EnhanceConf,20170313,2
EnhanceConf,20170314,1
EnhanceConf,20170315,2
EnhanceConf,20170316,0
EnhanceConf,20170317,0
EnhanceConf,20170318,0
EnhanceConf,20170319,0
EnhanceConf,20170320,0
EnhanceConf,20170321,0
EnhanceConf,20170322,0
EnhanceConf,20170323,0
EnhanceConf,20170324,1
EnhanceConf,20170325,0
EnhanceConf,20170326,0
EnhanceConf,20170327,0
EnhanceConf,20170328,1
EnhanceConf,20170329,6
EnhanceConf,20170330,0
EnhanceConf,20170331,0
EnhanceConf,20170401,0
EnhanceConf,20170402,0
EnhanceConf,20170403,0
EnhanceConf,20170404,0
EnhanceConf,20170405,1
EnhanceConf,20170406,1
EnhanceConf,20170407,0
EnhanceConf,20170408,0
EnhanceConf,20170409,0
EnhanceConf,20170410,0
LNUG,20170101,1
LNUG,20170102,1
LNUG,20170103,0
LNUG,20170104,0
LNUG,20170105,1
LNUG,20170106,0
LNUG,20170107,2
LNUG,20170108,1
LNUG,20170109,1
LNUG,20170110,2
LNUG,20170111,0
LNUG,20170112,10
LNUG,20170113,1
LNUG,20170114,1
LNUG,20170115,61
LNUG,20170116,2
LNUG,20170117,70
LNUG,20170118,1
LNUG,20170119,3
LNUG,20170120,11
LNUG,20170121,1
LNUG,20170122,1
LNUG,20170123,3
LNUG,20170124,1
LNUG,20170125,0
LNUG,20170126,1
LNUG,20170127,11
LNUG,20170128,1
LNUG,20170129,7
LNUG,20170130,8
LNUG,20170131,1
LNUG,20170201,5
LNUG,20170202,1
LNUG,20170203,12
LNUG,20170204,4
LNUG,20170205,7
LNUG,20170206,3
LNUG,20170207,1
LNUG,20170208,2
LNUG,20170209,1
LNUG,20170210,10
LNUG,20170211,2
LNUG,20170212,31
LNUG,20170213,2
LNUG,20170214,8
LNUG,20170215,2
LNUG,20170216,2
LNUG,20170217,11
LNUG,20170218,2
LNUG,20170219,1
LNUG,20170220,5
LNUG,20170221,2
LNUG,20170222,2
LNUG,20170223,1
LNUG,20170224,11
LNUG,20170225,1
LNUG,20170226,6
LNUG,20170227,1
LNUG,20170228,10
LNUG,20170301,2
LNUG,20170302,2
LNUG,20170303,17
LNUG,20170304,0
LNUG,20170305,1
LNUG,20170306,2
LNUG,20170307,2
LNUG,20170308,0
LNUG,20170309,3
LNUG,20170310,0
LNUG,20170311,0
LNUG,20170312,0
LNUG,20170313,0
LNUG,20170314,0
LNUG,20170315,0
LNUG,20170316,1
LNUG,20170317,0
LNUG,20170318,0
LNUG,20170319,0
